#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CTTN	WASL	0	0	0	0	0	0	0	0	0	0	0.999
CTTN	SRC	0	0	0	0	0	0	0	0	0	0	0.998
CTTN	PXN	0	0	0	0	0	0	0	0	0	0	0.997
CTTN	WAS	0	0	0	0	0	0	0	0	0	0	0.996
CTTN	CFL2	0	0	0	0	0	0	0	0	0	0	0.996
CTTN	CFL1	0	0	0	0	0	0	0	0	0	0	0.996
CTTN	HDAC6	0	0	0	0	0	0	0	0	0	0	0.996
CTTN	DNM2	0	0	0	0	0	0	0	0	0	0	0.993
CTTN	TJP1	0	0	0	0	0	0	0	0	0	0	0.992
CTTN	GSN	0	0	0	0	0	0	0	0	0	0	0.987
